xpos_pix,ypos_pix,frame_num,index_num
167.77777777777777,589.1666666666666,12,0
168.16666666666666,589.0555555555555,13,1
169.23529411764707,588.5882352941177,14,2
169.94117647058823,587.5882352941177,15,3
171.11764705882354,586.6470588235294,16,4
172.1578947368421,586.1052631578947,17,5
173.8,584.95,18,6
174.8,583.95,19,7
176.25,583.05,20,8
177.42105263157896,582.1578947368421,21,9
178.72727272727272,581.3636363636364,22,10
179.75,580.6666666666666,23,11
181.05263157894737,579.5263157894736,24,12
182.28571428571428,578.8095238095239,25,13
183.4,577.75,26,14
185.06666666666666,577.0666666666667,27,15
186.51724137931035,576.2758620689655,28,16
187.71428571428572,575.2142857142857,29,17
188.85714285714286,574.25,30,18
190.03703703703704,573.2592592592592,31,19
191.60714285714286,572.3928571428571,32,20
192.80769230769232,571.3846153846154,33,21
193.92592592592592,570.7037037037037,34,22
195.21428571428572,569.7142857142857,35,23
196.6,568.8333333333334,36,24
197.79310344827587,567.9310344827586,37,25
198.85714285714286,567.0357142857143,38,26
200.3793103448276,566.1379310344828,39,27
201.51612903225808,565.0322580645161,40,28
202.9655172413793,564.3103448275862,41,29
204.13333333333333,563.3,42,30
205.31034482758622,562.4137931034483,43,31
206.39285714285714,561.4642857142857,44,32
207.78571428571428,560.6071428571429,45,33
208.66666666666666,559.9,46,34
210.17241379310346,559.0689655172414,47,35
211.03571428571428,558.3214285714286,48,36
212.41379310344828,557.3448275862069,49,37
213.33333333333334,556.6666666666666,50,38
214.71428571428572,555.9642857142857,51,39
215.85714285714286,555.0357142857143,52,40
217.03703703703704,554.3333333333334,53,41
218.4814814814815,553.7407407407408,54,42
219.40740740740742,552.9629629629629,55,43
220.74193548387098,552.258064516129,56,44
222.14285714285714,551.4642857142857,57,45
223.20689655172413,550.5172413793103,58,46
224.48275862068965,549.8275862068965,59,47
225.82758620689654,549.1379310344828,60,48
227.10344827586206,548.1724137931035,61,49
228.10344827586206,547.551724137931,62,50
229.33333333333334,546.9333333333333,63,51
230.68965517241378,546.0689655172414,64,52
231.75862068965517,545.3103448275862,65,53
232.92857142857142,544.4285714285714,66,54
234.125,544.09375,67,55
235.3548387096774,543.1935483870968,68,56
236.58064516129033,542.6451612903226,69,57
237.9,541.6333333333333,70,58
238.875,541.0625,71,59
240.13793103448276,540.3448275862069,72,60
241.29032258064515,539.516129032258,73,61
242.89285714285714,538.9285714285714,74,62
243.85714285714286,538.1785714285714,75,63
245.11111111111111,537.2962962962963,76,64
246.4,536.6333333333333,77,65
247.6451612903226,535.9354838709677,78,66
248.6206896551724,535.448275862069,79,67
249.85185185185185,534.5185185185185,80,68
251.06666666666666,534.1333333333333,81,69
252.32142857142858,533.3571428571429,82,70
253.40740740740742,532.8148148148148,83,71
254.63333333333333,532.1,84,72
255.82142857142858,531.3928571428571,85,73
256.9642857142857,530.9285714285714,86,74
258.3333333333333,530.3,87,75
259.56666666666666,529.4333333333333,88,76
260.80645161290323,528.9354838709677,89,77
261.90625,528.375,90,78
263.16129032258067,527.6774193548387,91,79
264.4516129032258,526.9354838709677,92,80
265.6333333333333,526.5,93,81
266.8709677419355,525.9032258064516,94,82
268.1290322580645,525.0322580645161,95,83
269.1515151515151,524.6969696969697,96,84
270.5,524.0333333333333,97,85
271.7096774193548,523.3870967741935,98,86
272.93939393939394,522.8484848484849,99,87
274.16129032258067,522.2258064516129,100,88
275.09375,521.8125,101,89
276.4375,521.21875,102,90
277.78125,520.46875,103,91
278.875,519.8125,104,92
280.1290322580645,519.3870967741935,105,93
281.3,518.7,106,94
282.3666666666667,518.0666666666667,107,95
283.6896551724138,517.6206896551724,108,96
284.83870967741933,517.1612903225806,109,97
286.1666666666667,516.6333333333333,110,98
287.46875,516.09375,111,99
288.58620689655174,515.448275862069,112,100
289.65384615384613,514.9615384615385,113,101
291.0357142857143,514.2857142857143,114,102
292.3333333333333,513.5925925925926,115,103
293.5,513.1666666666666,116,104
294.64,512.64,117,105
295.89285714285717,512.2857142857143,118,106
297.0689655172414,511.6896551724138,119,107
298.4074074074074,511.1111111111111,120,108
299.64285714285717,510.60714285714283,121,109
300.85185185185185,510.14814814814815,122,110
302.0,509.35714285714283,123,111
302.9130434782609,508.82608695652175,124,112
304.1923076923077,508.46153846153845,125,113
305.5416666666667,507.7083333333333,126,114
306.89285714285717,507.4642857142857,127,115
308.14285714285717,506.82142857142856,128,116
309.14814814814815,506.18518518518516,129,117
310.1923076923077,505.88461538461536,130,118
311.67857142857144,505.2142857142857,131,119
312.85185185185185,504.7037037037037,132,120
313.8965517241379,504.2413793103448,133,121
315.17857142857144,503.67857142857144,134,122
316.18518518518516,503.14814814814815,135,123
317.4193548387097,502.8709677419355,136,124
318.51724137931035,502.2758620689655,137,125
319.73333333333335,501.8,138,126
320.82142857142856,501.39285714285717,139,127
321.8666666666667,500.93333333333334,140,128
323.0689655172414,500.58620689655174,141,129
324.17857142857144,500.14285714285717,142,130
325.2413793103448,499.58620689655174,143,131
326.4642857142857,499.2857142857143,144,132
327.6666666666667,498.93333333333334,145,133
328.80645161290323,498.4193548387097,146,134
329.8965517241379,497.8965517241379,147,135
331.0,497.46666666666664,148,136
332.258064516129,497.2258064516129,149,137
333.3225806451613,496.64516129032256,150,138
334.4375,496.1875,151,139
335.53333333333336,495.8333333333333,152,140
336.65625,495.4375,153,141
337.64285714285717,495.14285714285717,154,142
338.9310344827586,494.8965517241379,155,143
340.2857142857143,494.2857142857143,156,144
341.23333333333335,494.03333333333336,157,145
342.23333333333335,493.6666666666667,158,146
343.38709677419354,493.35483870967744,159,147
344.6551724137931,493.1034482758621,160,148
345.82142857142856,492.57142857142856,161,149
347.06451612903226,492.3225806451613,162,150
348.1111111111111,492.18518518518516,163,151
349.51724137931035,491.7586206896552,164,152
350.67857142857144,491.60714285714283,165,153
351.65384615384613,491.15384615384613,166,154
352.89285714285717,490.7857142857143,167,155
353.9642857142857,490.5,168,156
355.2142857142857,490.14285714285717,169,157
356.32142857142856,490.0,170,158
357.62068965517244,489.58620689655174,171,159
358.60714285714283,489.25,172,160
359.7586206896552,489.1034482758621,173,161
360.8965517241379,488.8965517241379,174,162
361.75757575757575,488.7878787878788,175,163
363.06451612903226,488.2258064516129,176,164
364.2142857142857,488.0,177,165
365.4,487.8666666666667,178,166
366.5,487.5625,179,167
367.6333333333333,487.3,180,168
368.90625,487.1875,181,169
370.0,486.7241379310345,182,170
371.26666666666665,486.5,183,171
372.28125,486.4375,184,172
373.41379310344826,486.0,185,173
374.51851851851853,485.85185185185185,186,174
375.7241379310345,485.6551724137931,187,175
376.8888888888889,485.18518518518516,188,176
378.0769230769231,484.8076923076923,189,177
379.39285714285717,484.7142857142857,190,178
380.57142857142856,484.7857142857143,191,179
381.57142857142856,484.32142857142856,192,180
382.7857142857143,484.14285714285717,193,181
384.0,483.6666666666667,194,182
385.037037037037,483.6296296296296,195,183
386.36,483.36,196,184
387.3478260869565,483.0869565217391,197,185
388.40909090909093,482.90909090909093,198,186
389.96153846153845,483.15384615384613,199,187
391.0,483.0,200,188
392.0,482.28,201,189
393.4074074074074,482.3333333333333,202,190
394.48148148148147,482.25925925925924,203,191
