pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
153.630112,711.861142,149.726750,712.873757,150.503744,713.063759
153.690712,711.859191,149.700553,712.873757,150.503744,713.063759
153.937315,711.902083,149.700553,712.873757,150.503744,713.063759
153.978415,711.773408,149.700553,712.873757,150.503744,713.063759
154.759325,710.357982,150.204465,712.470073,150.852375,712.328708
156.978751,707.098214,152.321769,710.095898,152.857004,710.123556
159.157078,704.310255,153.751642,708.101202,155.297422,707.183352
161.294303,701.522295,156.522770,705.213161,157.563524,704.365656
163.431529,698.991686,158.423099,702.577893,159.219522,702.160504
165.404353,696.418185,160.726696,699.861734,161.398467,699.587825
166.912328,693.683266,162.897393,697.381763,163.664569,696.647622
169.146934,690.824695,165.112390,694.665604,165.560456,694.138471
171.021120,688.267026,167.099701,692.402371,167.794215,691.685535
172.751138,685.558906,169.126127,689.816306,169.748754,689.232598
174.409072,683.076463,171.281899,687.460112,171.595927,686.601925
175.778670,680.819696,173.308326,684.931515,173.600556,684.274264
177.508688,677.961125,175.377867,682.805194,175.821785,681.481319
179.094538,675.328230,177.490524,680.563937,177.776324,678.734031
180.464136,673.221914,179.374073,678.463742,179.661057,676.967916
182.194154,670.889922,181.456094,676.365527,181.685401,675.005567
183.635835,668.557930,183.704678,674.084858,183.570135,672.650748
185.221685,666.376389,185.620137,672.077870,NaN,NaN
186.807535,664.044396,187.702159,669.705975,NaN,NaN
188.249217,661.637178,189.950742,667.334080,NaN,NaN
189.690898,659.756540,191.782920,664.870958,NaN,NaN
191.478829,658.008952,194.035939,661.729972,NaN,NaN
193.256675,655.634135,195.864972,659.673705,NaN,NaN
195.247863,653.185104,197.645873,657.511989,NaN,NaN
196.812368,651.107138,199.474906,654.823024,NaN,NaN
198.590215,649.029173,201.496469,652.714032,NaN,NaN
200.368061,646.951208,203.181105,650.499590,NaN,NaN
202.145908,644.724816,205.058270,648.337874,NaN,NaN
203.710412,642.869490,206.791853,646.291182,NaN,NaN
205.599102,640.366520,208.592751,643.907476,NaN,NaN
207.423176,638.170095,210.506205,641.852557,NaN,NaN
209.247250,635.827242,211.931915,639.551047,NaN,NaN
210.860854,633.850459,213.695294,637.372833,NaN,NaN
212.825241,631.361177,215.458257,635.271648,NaN,NaN
214.438845,629.091538,216.943325,633.339872,NaN,NaN
216.192763,626.968327,218.428393,631.001406,NaN,NaN
218.297768,624.737391,220.377544,628.764612,NaN,NaN
220.049707,622.817687,222.419512,626.731163,NaN,NaN
221.801646,620.532325,224.183030,624.901060,NaN,NaN
223.553585,618.429792,225.668098,622.765938,NaN,NaN
225.393122,616.418673,227.338799,620.630817,NaN,NaN
226.882270,614.590383,229.287951,618.495696,NaN,NaN
229.176319,612.608303,230.958652,616.563920,NaN,NaN
230.731842,610.714437,232.350903,614.733816,NaN,NaN
233.065126,608.550019,234.207238,612.700367,NaN,NaN
235.398410,606.250325,235.413855,610.870263,NaN,NaN
236.824306,604.221183,237.734274,608.735142,NaN,NaN
238.768710,602.327317,239.033708,607.210055,NaN,NaN
240.842740,600.162899,240.459585,605.049816,NaN,NaN
242.657517,598.539585,242.067354,603.464766,NaN,NaN
244.472293,596.916272,243.291479,601.948871,NaN,NaN
246.027816,594.887130,245.020557,599.896982,NaN,NaN
