pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,827.850414,590.558920,826.878148,590.548993
NaN,NaN,827.850414,590.558920,826.878148,590.548993
NaN,NaN,827.850414,590.558920,826.878148,590.548993
824.196521,591.295955,827.850414,590.558920,826.878148,590.548993
824.035778,591.324651,827.676736,590.460359,826.878148,590.548993
822.491357,591.113720,826.692561,590.361799,825.876320,590.244867
820.996756,589.742670,825.534708,589.573317,824.783418,589.535239
820.000356,588.582552,824.318963,588.784834,823.417289,588.217359
818.406115,585.524057,823.103217,587.700670,821.960086,586.798104
817.478224,584.272332,821.884914,586.257154,820.867183,585.378848
816.562774,581.938235,820.649871,585.205844,819.683205,584.263719
815.637574,579.691324,819.183257,583.628879,818.317077,582.134836
814.522232,578.239275,818.179785,582.183327,817.042024,580.614205
813.275672,576.228744,817.256061,581.294250,815.949121,579.093574
812.160330,574.106518,815.400939,579.160811,814.582993,577.572943
810.913771,572.319379,814.088705,577.452432,813.307940,575.950937
810.126470,570.643937,812.699282,576.138294,812.123962,574.227555
809.329588,568.527174,811.235227,574.395027,810.939984,572.706924
808.448584,566.351318,809.961589,572.128140,809.664931,570.882167
807.677706,564.797135,808.762583,571.144571,808.298803,569.260160
806.649869,563.553788,807.218779,569.041951,807.205900,567.840905
806.025825,561.533350,805.674976,567.596400,805.839772,566.117523
805.777628,560.534303,804.594313,566.019435,804.564718,563.684514
804.634366,558.719151,803.127700,563.391159,803.198590,561.961132
803.705465,557.408207,801.892657,561.682780,802.014612,560.136375
802.490748,555.542634,800.622647,559.458292,800.830634,558.412993
801.371303,553.777902,799.571569,557.707975,799.919882,556.993738
800.370948,552.769484,798.371899,555.933089,798.462679,555.067605
799.299139,550.702227,797.239183,554.102281,797.551926,553.445599
798.664315,550.039509,795.873926,551.879032,796.276873,552.026343
797.634030,548.427437,794.685229,550.202167,795.001820,550.404337
796.336801,546.630642,793.202770,548.746271,793.726767,548.782331
795.232745,545.355802,792.087615,546.613011,792.633865,547.261700
794.530163,543.868489,791.184097,545.074801,791.723112,545.639693
793.024632,541.956230,789.866467,543.408408,790.539134,544.017687
792.454299,541.074328,788.869561,541.773352,789.173006,542.192930
791.214334,539.949364,787.871198,540.011528,NaN,NaN
790.090000,538.770000,786.553568,538.345134,NaN,NaN
788.793449,536.949461,785.574757,536.614648,NaN,NaN
787.730622,535.449510,784.671239,535.525083,NaN,NaN
786.490657,533.449574,783.466549,533.858689,NaN,NaN
785.545922,532.199615,782.186565,532.192295,NaN,NaN
784.601186,530.699663,781.056009,530.600378,NaN,NaN
783.479313,529.074716,779.800508,529.123129,NaN,NaN
781.376961,527.226260,778.701309,527.875562,NaN,NaN
780.571490,525.659074,777.748669,526.191346,NaN,NaN
779.254997,524.048174,776.539550,525.006157,NaN,NaN
778.176572,522.502082,775.330431,523.509076,NaN,NaN
776.719505,520.859630,774.267871,521.949616,NaN,NaN
775.305081,518.933222,773.168672,520.514914,NaN,NaN
