pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,849.824722,593.120701
NaN,NaN,849.646103,593.403501,849.824722,593.120701
845.766983,592.858116,849.646103,593.463831,849.824722,593.120701
845.766983,592.858116,849.646103,593.403501,849.607102,593.120701
845.707737,592.377883,849.359011,592.575367,849.462022,592.732274
845.318762,591.412595,848.971939,591.814861,848.664083,591.858313
844.405457,589.801542,848.004260,590.639534,848.011224,590.887246
843.684661,588.219193,847.263635,589.602681,846.995665,589.721964
842.742082,586.843237,846.291199,588.215079,846.270266,588.265363
842.076733,585.260888,845.416006,586.646487,845.689947,587.391402
841.355937,583.816135,844.540814,585.319216,844.674388,585.934800
840.690587,582.577775,843.616999,583.871285,843.876449,584.769519
840.080683,581.064224,842.790429,582.604345,842.788350,583.312918
839.138104,579.825864,841.720749,581.458066,841.917871,582.050530
838.250971,578.037121,840.748313,580.130795,840.757232,580.302608
837.862851,576.729963,840.067607,578.682864,840.031833,579.040220
837.308393,575.285210,839.386902,577.415924,839.233894,577.972045
836.643043,574.046850,838.666616,576.738610,838.218335,576.612551
835.977693,572.877288,837.856501,575.363073,837.492936,575.641483
835.090560,571.226141,836.492095,574.622399,836.259757,574.281988
834.536102,569.987781,835.426154,573.405577,835.316738,573.019600
834.203427,568.887016,834.530763,572.241661,834.518799,571.951426
833.759861,567.304667,833.592734,570.866123,833.430701,570.786144
833.371740,566.479094,832.654705,569.649301,832.444605,569.301865
832.817282,565.309532,831.546126,568.485385,831.747436,567.953797
832.096486,564.415160,830.480184,567.321468,830.895339,566.916822
831.235090,563.268322,829.499518,565.840120,829.965780,565.776149
830.761418,561.945913,828.390939,564.517488,829.036221,564.531779
829.991701,560.550037,827.197084,563.300666,828.184125,563.391107
829.399612,559.594964,826.386968,562.030939,827.332029,561.939341
828.689104,558.346022,825.584648,561.414842,826.634859,560.383879
827.741760,557.317482,824.355089,559.828165,825.741469,559.424652
826.972043,556.142007,823.507045,558.231246,825.085593,558.102533
826.261536,554.893066,822.862254,557.031152,824.078571,556.443373
825.787864,553.791058,821.987182,555.716762,823.303938,555.406398
825.077356,552.468649,821.434504,554.802404,822.296915,554.369423
824.366848,551.733978,820.421262,553.545162,821.444819,553.125053
823.597132,550.631970,819.454077,552.516510,820.592723,552.191775
823.005042,549.456495,818.671117,551.144973,819.818090,550.947405
822.057698,548.721824,818.265253,549.918189,NaN,NaN
821.347190,547.472882,817.481300,548.947343,NaN,NaN
820.518265,546.297407,816.645084,547.752456,NaN,NaN
819.985384,545.268867,816.017922,546.184167,NaN,NaN
819.089595,544.092228,815.233969,545.138640,NaN,NaN
818.258948,542.961677,814.372846,543.899903,NaN,NaN
817.289860,541.929435,813.589777,542.656632,NaN,NaN
816.274626,540.798885,812.748704,541.371920,NaN,NaN
815.628567,539.766643,811.907630,540.170092,NaN,NaN
814.659479,538.734402,811.038360,539.480098,NaN,NaN
814.105715,537.653005,810.084621,538.280818,NaN,NaN
813.090480,536.227529,809.321630,537.245076,NaN,NaN
812.075246,534.998670,808.558639,535.827745,NaN,NaN
811.429187,534.064736,807.528601,534.955541,NaN,NaN
810.712270,533.062473,806.498563,533.756261,NaN,NaN
