pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
150.693432,724.707759,141.540940,724.393476,145.969304,724.783974
150.674305,724.723494,141.540940,724.393476,145.969304,724.783974
150.739507,724.471158,141.540940,724.393476,145.969304,724.555330
151.326321,724.155738,141.648281,724.352482,146.412191,724.098040
152.173941,723.335645,142.507012,723.573579,147.297965,723.259675
153.477972,721.380039,144.081351,722.466717,148.921884,721.659161
155.238415,719.298265,146.338827,720.341123,150.693432,719.372712
157.064059,716.964155,147.407629,718.533434,152.391165,717.467338
158.654317,714.882422,149.545234,716.784057,154.162713,715.333319
160.240504,712.868163,151.224781,715.034679,156.008075,713.351730
161.727554,710.662069,153.006119,713.401927,157.705808,711.598786
163.313741,708.455976,154.583875,711.477612,159.153061,709.744180
165.098202,706.249883,156.568794,709.611610,160.934899,707.714074
166.882663,704.043789,158.451922,707.920545,162.716737,705.747408
168.369713,702.125447,159.978783,706.287793,164.621461,703.717301
169.856764,700.015271,161.280859,705.402669,166.218971,702.004399
171.343814,697.905095,163.467179,703.562301,167.816481,700.164614
173.326548,695.794918,165.580651,701.611666,169.521153,698.301809
174.813598,693.780659,167.400586,699.795557,171.385086,696.565022
176.598059,691.766400,168.920000,698.180000,172.977668,694.518380
177.787699,689.464390,170.880000,696.270000,174.390850,692.868918
179.001417,687.667959,172.910000,694.190000,NaN,NaN
180.632503,685.754583,174.920000,692.200000,NaN,NaN
181.969564,683.684761,176.910000,690.220000,NaN,NaN
183.841451,681.528696,178.920000,688.210000,NaN,NaN
185.535062,679.545116,180.610632,687.054163,NaN,NaN
186.961262,678.251477,182.278935,685.811732,NaN,NaN
188.387461,676.354140,184.364313,684.473730,NaN,NaN
189.724522,674.629288,186.366276,682.466726,NaN,NaN
191.239859,672.990679,188.117993,680.459723,NaN,NaN
192.576921,671.093342,190.119957,678.548291,NaN,NaN
194.270532,669.627218,192.121920,677.019145,NaN,NaN
195.518457,668.074851,193.957052,675.107713,NaN,NaN
196.944656,666.350000,195.875600,673.578568,NaN,NaN
198.192580,664.366420,197.627318,672.144994,NaN,NaN
199.987227,662.476280,199.045375,670.329134,NaN,NaN
201.634199,660.962470,200.867437,668.624307,NaN,NaN
203.034125,659.687682,202.591972,666.719014,NaN,NaN
204.516400,657.934849,204.747642,664.813720,NaN,NaN
206.245721,656.261691,206.410586,663.190692,NaN,NaN
207.563298,654.429184,207.950350,661.708797,NaN,NaN
209.210270,652.915373,209.798067,659.732938,NaN,NaN
210.527848,651.321889,211.584193,658.109910,NaN,NaN
212.092471,649.728404,213.370318,656.204616,NaN,NaN
213.657095,648.373943,215.156444,655.146120,NaN,NaN
215.057021,646.780458,216.880980,653.523092,NaN,NaN
216.539296,645.346322,218.605515,651.758932,NaN,NaN
218.268617,643.513815,220.945956,649.994771,NaN,NaN
218.762708,642.637399,222.608901,648.301177,NaN,NaN
220.080286,641.203263,224.333436,646.748716,NaN,NaN
221.150818,639.928475,226.070287,645.767089,NaN,NaN
222.797790,638.414665,227.474555,644.529461,NaN,NaN
224.239376,636.810311,229.094863,643.044306,NaN,NaN
226.165070,635.381893,231.039233,641.311626,NaN,NaN
227.705625,633.642948,232.767562,639.950234,NaN,NaN
229.246181,632.276635,234.495891,638.217553,NaN,NaN
231.043495,630.661901,236.008178,636.608636,NaN,NaN
232.776620,629.233482,238.060569,635.371007,NaN,NaN
234.372798,628.067865,239.464836,633.885852,NaN,NaN
235.611170,626.542942,241.193165,632.153172,NaN,NaN
237.074701,625.562634,242.737604,630.426581,NaN,NaN
238.875969,623.602018,244.158492,628.961416,NaN,NaN
240.114341,622.512787,245.674107,627.279190,NaN,NaN
241.803029,621.205710,247.473899,625.922555,NaN,NaN
243.552203,619.271725,248.989513,624.565921,NaN,NaN
245.145277,618.002389,250.770000,623.300000,NaN,NaN
246.832061,616.642386,252.680000,621.720000,NaN,NaN
248.799976,615.282383,254.760000,620.320000,NaN,NaN
