pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y
NaN,NaN,NaN,NaN,171.021527,876.307165
NaN,NaN,NaN,NaN,171.021527,876.307165
NaN,NaN,NaN,NaN,171.021527,876.307165
NaN,NaN,NaN,NaN,171.021527,876.307165
NaN,NaN,NaN,NaN,171.021527,876.307165
NaN,NaN,NaN,NaN,171.021527,876.307165
177.490206,873.141936,169.929314,876.890326,171.021527,876.307165
177.490206,873.232259,169.889934,876.800004,171.021527,876.307165
177.450827,873.141936,169.929314,876.935488,171.021527,876.307165
177.529586,873.051613,169.889934,877.070972,171.021527,876.307165
177.529586,873.051613,169.968693,877.116133,171.128501,876.432073
177.720515,872.936287,170.144108,876.984691,171.128501,876.432073
178.266163,872.401195,170.242301,876.742648,171.128501,876.182257
178.623396,871.400310,170.667808,875.567012,171.716274,874.845710
178.747651,869.086788,171.327306,873.462643,172.650605,872.560661
179.508711,866.412290,172.741255,871.005932,173.865236,869.949175
180.766310,863.337658,173.817013,868.918326,175.079867,867.729413
182.561006,860.446994,175.311122,866.494009,176.294498,865.313789
183.411421,857.399770,176.864995,864.339061,177.649278,862.898165
183.632931,854.704684,177.940754,862.184113,179.136814,860.638204
184.355787,851.803382,179.375098,859.692454,180.542236,858.195533
184.807007,849.252469,181.227793,857.402822,181.932901,855.947192
185.342097,846.639743,182.423080,855.651926,182.895670,853.823760
186.233914,844.227997,183.917189,853.025583,184.072386,851.200696
186.412277,841.414292,185.493146,850.954934,185.222171,849.419658
187.125731,839.203524,186.675803,848.569777,186.678967,846.632915
187.445703,836.890267,188.396031,845.957463,187.962224,843.942858
187.660821,834.982968,189.919394,843.120392,189.303810,841.660386
187.892591,833.008590,190.516364,841.326627,190.470407,838.970329
188.289825,830.700565,192.307272,839.084421,191.637004,836.687856
189.019371,829.007617,193.302221,836.842215,192.570282,834.242350
189.512342,827.155961,194.496160,833.478906,194.026518,832.772783
190.060088,825.362169,195.814516,831.419367,194.932848,829.877675
190.881706,823.394784,197.319716,829.261369,196.098129,828.430120
191.763180,821.718362,198.609887,826.535476,197.133935,825.896900
192.833361,819.909552,199.900058,824.491056,198.169741,824.268402
193.903541,818.904657,201.190229,822.333057,199.205546,822.097070
194.616995,817.296826,202.480401,819.607164,NaN,NaN
195.687175,815.086059,203.770572,817.108429,NaN,NaN
196.757356,814.081164,205.275772,815.177588,NaN,NaN
198.005900,812.071375,206.243400,812.792432,NaN,NaN
199.789534,812.071375,207.426057,810.520855,NaN,NaN
201.038078,810.664523,209.009970,808.860924,NaN,NaN
202.464985,809.056692,210.141353,806.844022,NaN,NaN
203.535166,807.850819,211.626293,803.930718,NaN,NaN
206.210617,806.644946,212.969810,802.063216,NaN,NaN
206.960877,804.337765,214.454751,799.747513,NaN,NaN
208.237409,802.391710,215.444711,797.282409,NaN,NaN
210.114661,800.614877,216.788228,794.518506,NaN,NaN
211.706557,798.805404,217.990323,792.725703,NaN,NaN
213.633208,796.996289,219.475263,790.708801,NaN,NaN
215.302971,795.042444,220.925092,788.842776,NaN,NaN
217.293843,793.305693,222.028099,787.133841,NaN,NaN
218.963607,791.786036,223.152258,784.732793,NaN,NaN
221.404031,790.194015,223.682609,784.337403,NaN,NaN
223.716011,788.529628,224.923491,781.851680,NaN,NaN
226.605987,786.503419,226.302250,779.676672,NaN,NaN
228.147307,784.911397,227.267381,777.657022,NaN,NaN
230.716174,782.812824,229.059767,776.414160,NaN,NaN
232.899711,780.207697,230.162773,774.239152,NaN,NaN
234.312588,778.109123,230.438525,771.753429,NaN,NaN
236.046573,775.793456,232.368787,769.267706,NaN,NaN
237.523672,773.622517,232.920290,767.248056,NaN,NaN
239.514544,771.596308,234.574800,765.073048,NaN,NaN
241.248529,769.497734,234.574800,763.053398,NaN,NaN
243.175180,766.964972,235.402055,761.499821,NaN,NaN
244.459613,764.866398,236.780813,760.101602,NaN,NaN
246.643150,762.116543,237.332317,758.237309,NaN,NaN
247.650182,760.323842,238.711075,755.906944,NaN,NaN
248.618357,758.852245,239.124703,754.198009,NaN,NaN
250.385883,755.425684,242.157971,753.421220,NaN,NaN
252.112453,753.619158,242.571598,751.712286,NaN,NaN
253.592371,750.978851,243.536729,749.847993,NaN,NaN
254.686271,749.171008,245.053363,747.517628,NaN,NaN
256.592723,745.394311,246.156370,746.740839,NaN,NaN
257.292164,743.196893,247.673004,745.342620,NaN,NaN
258.255854,740.337034,248.776011,743.633685,NaN,NaN
259.667544,738.842557,250.568397,741.614035,NaN,NaN
260.853793,737.094620,251.671404,740.060458,NaN,NaN
261.948791,734.729763,253.325914,738.351523,NaN,NaN
262.587540,732.879006,254.842548,736.331873,NaN,NaN
263.226290,729.691590,256.360469,734.447063,NaN,NaN
264.595038,727.738013,257.516639,733.220930,NaN,NaN
265.416287,725.681616,258.568242,732.560630,NaN,NaN
266.429600,723.152106,259.678980,731.538643,NaN,NaN
267.238223,721.312214,260.664972,730.118979,NaN,NaN
268.109048,719.340901,262.957442,727.856598,NaN,NaN
268.793268,717.369588,264.397893,727.357428,NaN,NaN
270.124117,715.703972,265.578294,724.617724,NaN,NaN
270.042327,714.351397,267.038045,722.952065,NaN,NaN
270.466402,712.390862,268.505905,721.610901,NaN,NaN
