xpos_pix,ypos_pix,frame_num,index_num
45.8,580.2666666666667,7,0
45.93333333333333,580.2,8,1
46.3,580.05,9,2
46.64705882352941,579.2352941176471,10,3
47.35294117647059,578.1176470588235,11,4
47.77777777777778,577.6666666666666,12,5
48.375,576.375,13,6
48.78947368421053,575.5263157894736,14,7
49.31578947368421,574.8947368421053,15,8
49.857142857142854,573.952380952381,16,9
50.40909090909091,573.1363636363636,17,10
50.791666666666664,572.125,18,11
51.333333333333336,571.6666666666666,19,12
51.73913043478261,570.8260869565217,20,13
52.40909090909091,569.6818181818181,21,14
52.95652173913044,568.9565217391304,22,15
53.291666666666664,568.125,23,16
53.80952380952381,567.4761904761905,24,17
54.1578947368421,566.5263157894736,25,18
54.5,565.4444444444445,26,19
55.166666666666664,564.3333333333334,27,20
56.22222222222222,563.0370370370371,28,21
56.26923076923077,561.9615384615385,29,22
56.92857142857143,561.0714285714286,30,23
57.32142857142857,560.1428571428571,31,24
57.75,559.3571428571429,32,25
57.86666666666667,558.5,33,26
58.43333333333333,557.9333333333333,34,27
58.58064516129032,557.4193548387096,35,28
58.84375,556.96875,36,29
59.4,556.3714285714286,37,30
59.8125,555.6875,38,31
60.41935483870968,555.1290322580645,39,32
60.72727272727273,554.3030303030303,40,33
61.5,553.4,41,34
61.76923076923077,552.5769230769231,42,35
62.111111111111114,551.7037037037037,43,36
62.6551724137931,551.2758620689655,44,37
63.0,550.7307692307693,45,38
63.44,549.88,46,39
63.82608695652174,549.1739130434783,47,40
64.32,548.48,48,41
65.0,547.9545454545455,49,42
65.20833333333333,547.4166666666666,50,43
65.875,547.0833333333334,51,44
66.44,546.32,52,45
67.24137931034483,545.6206896551724,53,46
67.8,544.7333333333333,54,47
68.65517241379311,543.7586206896551,55,48
68.86666666666666,543.0333333333333,56,49
69.44827586206897,542.0344827586207,57,50
69.8,541.1,58,51
70.06896551724138,540.2068965517242,59,52
70.60714285714286,539.3571428571429,60,53
71.0,538.6428571428571,61,54
71.53571428571429,537.6428571428571,62,55
71.6923076923077,537.3461538461538,63,56
72.4,536.36,64,57
72.65384615384616,535.8461538461538,65,58
73.16,535.0,66,59
73.30434782608695,534.304347826087,67,60
74.08333333333333,533.7083333333334,68,61
74.96666666666667,532.9333333333333,69,62
75.36666666666666,532.1666666666666,70,63
75.83333333333333,531.1666666666666,71,64
76.74193548387096,530.3548387096774,72,65
77.09677419354838,529.6451612903226,73,66
77.83870967741936,529.0645161290323,74,67
78.03125,528.625,75,68
78.42424242424242,527.5151515151515,76,69
78.71875,527.28125,77,70
79.16666666666667,526.8888888888889,78,71
79.78787878787878,525.8484848484849,79,72
80.0,525.5142857142857,80,73
80.40625,524.8125,81,74
80.78125,524.3125,82,75
81.56666666666666,523.3333333333334,83,76
81.8125,523.09375,84,77
82.42424242424242,522.5454545454545,85,78
82.6875,521.9375,86,79
83.29411764705883,521.3235294117648,87,80
83.74193548387096,520.6774193548387,88,81
83.93939393939394,520.2424242424242,89,82
84.53333333333333,519.9666666666667,90,83
84.8,519.5333333333333,91,84
85.46666666666667,519.0,92,85
86.3,518.4,93,86
86.67857142857143,517.4642857142857,94,87
87.0,517.0370370370371,95,88
87.8125,516.28125,96,89
88.14285714285714,515.5357142857143,97,90
88.42307692307692,514.6923076923077,98,91
88.84615384615384,513.6538461538462,99,92
89.21428571428571,513.1428571428571,100,93
89.93939393939394,512.6060606060606,101,94
90.17241379310344,511.8965517241379,102,95
90.64516129032258,511.38709677419354,103,96
91.09677419354838,510.7741935483871,104,97
91.5,510.73333333333335,105,98
91.96875,510.625,106,99
92.46428571428571,509.7857142857143,107,100
92.77142857142857,509.34285714285716,108,101
93.58064516129032,508.64516129032256,109,102
94.10526315789474,508.60526315789474,110,103
94.61111111111111,508.02777777777777,111,104
95.05,507.55,112,105
95.63414634146342,506.9756097560976,113,106
96.06976744186046,506.72093023255815,114,107
96.70731707317073,506.219512195122,115,108
97.1304347826087,505.69565217391306,116,109
97.73333333333333,505.4,117,110
98.34782608695652,505.17391304347825,118,111
98.5,504.3333333333333,119,112
99.04761904761905,504.14285714285717,120,113
99.46511627906976,503.74418604651163,121,114
99.84210526315789,503.10526315789474,122,115
100.25714285714285,502.7142857142857,123,116
100.56666666666666,502.1333333333333,124,117
100.73333333333333,501.7,125,118
101.03703703703704,501.3703703703704,126,119
101.5,500.73333333333335,127,120
102.24137931034483,500.0689655172414,128,121
102.60606060606061,499.90909090909093,129,122
103.20689655172414,499.17241379310343,130,123
104.03448275862068,498.48275862068965,131,124
104.34375,498.15625,132,125
105.03333333333333,497.7,133,126
105.84848484848484,497.1212121212121,134,127
106.5,496.44444444444446,135,128
107.0,496.0,136,129
107.52777777777777,495.6388888888889,137,130
108.21951219512195,495.1951219512195,138,131
108.6,494.45,139,132
109.05128205128206,494.02564102564105,140,133
109.58536585365853,493.780487804878,141,134
110.07317073170732,493.1707317073171,142,135
110.27027027027027,492.64864864864865,143,136
111.02380952380952,492.1190476190476,144,137
111.46341463414635,491.609756097561,145,138
111.84615384615384,491.05128205128204,146,139
112.23529411764706,490.6764705882353,147,140
112.5945945945946,490.5135135135135,148,141
112.93548387096774,490.03225806451616,149,142
113.39285714285714,490.0357142857143,150,143
113.96666666666667,489.4,151,144
114.25714285714285,488.9142857142857,152,145
114.84848484848484,488.54545454545456,153,146
115.11428571428571,488.51428571428573,154,147
115.61764705882354,487.88235294117646,155,148
116.11428571428571,487.8285714285714,156,149
116.57894736842105,487.2631578947368,157,150
117.0,487.14285714285717,158,151
